shop_name_gps,shop_id,Lat,Lon,Geohash
"!Якутск Орджоникидзе, 56 фран",0,61.992142,129.684679,ygh0xj3d2
"!Якутск ТЦ ""Центральный"" фран",1,62.030692,129.741397,ygh2bkebr
"Адыгея ТЦ ""Мега""",2,45.012746,38.930084,ub58jfk42
"Балашиха ТРК ""Октябрь-Киномир""",3,55.797792,37.938428,ucfvrm9vt
"Волжский ТЦ ""Волга Молл""",4,48.77198,44.800122,ubxv7qwmq
"Вологда ТРЦ ""Мармелад""",5,59.197311,39.859139,ufs2g0893
"Воронеж (Плехановская, 13)",6,51.663626,39.197274,uc5vgvnd6
"Воронеж ТРЦ ""Максимир""",7,51.696833,39.273076,uc5yjejgb
"Воронеж ТРЦ Сити-Парк ""Град""",8,51.788816,39.205399,uc5ys5ue8
Выездная Торговля,9,,,
Жуковский ул. Чкалова 39м?,10,55.597069,38.123645,ucgh790u3
Жуковский ул. Чкалова 39м²,11,55.59845,38.123744,ucgh792u7
Интернет-магазин ЧС,12,,,
"Казань ТЦ ""Бехетле""",13,55.825722,49.088032,v1fvt4bb6
"Казань ТЦ ""ПаркХаус"" II",14,55.835254,49.103158,v1fvtk7zf
"Калуга ТРЦ ""XXI век""",15,54.516081,36.246664,uc9y0u650
"Коломна ТЦ ""Рио""",16,55.084039,38.801035,ucg96gwpc
"Красноярск ТЦ ""Взлетка Плаза""",17,56.034466,92.907857,y1fnf0v2m
"Красноярск ТЦ ""Июнь""",18,56.03727,92.934665,y1fnfc2by
"Курск ТЦ ""Пушкинский""",19,51.737952,36.192223,uc1wrdd77
"Москва ""Распродажа""",20,55.702772,37.736039,ucfufsqs1
"Москва МТРЦ ""Афи Молл""",21,55.749116,37.539529,ucftnhz6n
Москва Магазин С21,22,55.825985,37.641728,ucfv8dccg
"Москва ТК ""Буденовский"" (пав.А2)",23,55.758327,37.740881,ucfv4y6pf
"Москва ТК ""Буденовский"" (пав.К7)",24,55.758425,37.741116,ucfv4yd0r
"Москва ТРК ""Атриум""",25,55.75726,37.659074,ucfv0yq98
"Москва ТЦ ""Ареал"" (Беляево)",26,55.643731,37.526327,ucfstctu4
"Москва ТЦ ""МЕГА Белая Дача II""",27,55.65419,37.844274,ucfut5t35
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,55.604228,37.491983,ucfsm4ky4
"Москва ТЦ ""Новый век"" (Новокосино)",29,55.737787,37.856853,ucfvj6y80
"Москва ТЦ ""Перловский""",30,55.891893,37.727466,ucfvfwb3c
"Москва ТЦ ""Семеновский""",31,55.782799,37.720635,ucfv66gq6
"Москва ТЦ ""Серебряный Дом""",32,55.782089,37.70418,ucfv3fz65
"Мытищи ТРК ""XL-3""",33,55.891868,37.74841,ucfvfyz99
"Н.Новгород ТРЦ ""РИО""",34,56.318216,43.925327,ufp0rs3mq
"Н.Новгород ТРЦ ""Фантастика""",35,56.307307,44.074863,ufp26fqmf
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,55.04306,82.922105,vcfcnuq11
"Новосибирск ТЦ ""Мега""",37,54.964246,82.936359,vcfbxmbmv
"Омск ТЦ ""Мега""",38,54.971959,73.28441,v9u0exk4f
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,47.259707,39.720515,ubkhzg7ee
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,47.259707,39.720515,ubkhzg7ee
"РостовНаДону ТЦ ""Мега""",41,47.289983,39.847001,ubkm48zsn
"СПб ТК ""Невский Центр""",42,59.932022,30.359193,udtsfy6ck
"СПб ТК ""Сенная""",43,59.9252,30.319949,udtscvn3d
"Самара ТЦ ""Мелодия""",44,53.208992,50.136992,v17wsyksu
"Самара ТЦ ""ПаркХаус""",45,53.241504,50.221246,v17wyu3fp
"Сергиев Посад ТЦ ""7Я""",46,56.303815,38.133307,uf5079zc6
"Сургут ТРЦ ""Сити Молл""",47,61.23971,73.37385,vduhmsm5n
"Томск ТРЦ ""Изумрудный Город""",48,56.488449,84.978008,vfh3merj5
"Тюмень ТРЦ ""Кристалл""",49,57.117339,65.549568,v6nsgtgsx
"Тюмень ТЦ ""Гудвин""",50,57.148952,65.560222,v6nt5gekz
"Тюмень ТЦ ""Зеленый Берег""",51,57.169954,65.567461,v6nthp2z0
"Уфа ТК ""Центральный""",52,54.736412,55.957539,v1xz3k7n9
"Уфа ТЦ ""Семья"" 2",53,54.749839,55.999352,v1xz6qckz
"Химки ТЦ ""Мега""",54,55.895784,37.452623,ucftur80t
Цифровой склад 1С-Онлайн,55,,,
"Чехов ТРЦ ""Карнавал""",56,55.153419,37.459409,ucf9u2m5g
"Якутск Орджоникидзе, 56",57,62.025098,129.720242,ygh0zg76k
"Якутск ТЦ ""Центральный""",58,62.036519,129.718379,ygh0zv6hc
"Ярославль ТЦ ""Альтаир""",59,57.697571,39.760274,ufk20z889
